2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	32	22	23	6	7	8	9	10	12	14	16	18	20	24	25	26	27	28	29	35	1	1	1	1	30	31	0	0	0	0	0	0	0	0	0	0
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	3	3	3	3	3	3	3	3	3	3	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	4	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85	-85
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	5	5	5	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	5	5	5	5	5	5	5	5	5	5	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86	-86
-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70
-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71	-71
-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72	-72
-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	#VALUE!	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74	-74
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75	-75
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
